symbol_id,lookback,candle_interval,macd_fast,macd_slow,macd_signal,stoch_k_len,stoch_d_len,cci_len,ema_fast,ema_mid,ema_slow,rsi_len,atr_len,atr_baseline_len,volume_sma_len,bb_len,bb_std_mult,donchian_len,adx_len,atr_percentile_window,macro_ema_period,type,side,win_rate,net_return,max_drawdown,calmar_ratio,run_timestamp
1,YTD,15m,8,26,9,10,3,14,8,21,55,7,14,100,20,20,1.5,20,7,120,0,,,66.66666666666666,35.651921062674134,-0.0109893699789824,193.790755103423,2026-04-25 16:14:29.331223
1,YTD,15m,8,26,9,10,3,14,8,34,89,7,7,60,10,20,2.0,20,7,120,50,,,65.38461538461539,20.065042701289585,-0.0245920804893035,39.23656026874758,2026-04-25 16:15:05.681030
1,YTD,15m,8,26,9,10,3,14,8,34,89,14,14,60,10,14,2.0,14,7,120,0,,,75.0,20.9946216359266,-0.0249497825198001,50.10066679291371,2026-04-25 16:15:15.419026
1,YTD,15m,8,26,9,10,3,14,12,34,89,7,7,60,10,20,1.5,20,7,60,0,,,71.42857142857143,22.396228058677888,-0.0169988592892591,78.86223803239777,2026-04-25 16:16:01.477802
1,YTD,15m,8,26,9,10,3,20,8,21,55,14,14,60,20,20,2.0,20,14,60,0,,,71.42857142857143,20.394289421715573,-0.0225664661401562,48.88737344605772,2026-04-25 16:16:28.645801
1,YTD,15m,8,26,9,10,3,20,8,21,89,7,7,60,10,14,2.0,14,7,120,0,,,65.3061224489796,23.057818223048887,-0.012547540590438,133.27147604241352,2026-04-25 16:16:30.670527
1,YTD,15m,8,26,9,10,3,20,8,21,89,14,7,60,10,20,2.0,20,7,120,0,,,69.23076923076923,23.002419699715453,-0.0326520843289965,43.47549755500893,2026-04-25 16:16:38.269871
1,YTD,15m,8,26,9,10,3,20,8,34,55,7,14,100,10,14,2.0,14,14,60,0,,,78.57142857142857,20.48911611492821,-0.0203560768043777,55.11517171272384,2026-04-25 16:16:49.720528
1,YTD,15m,8,26,9,10,3,20,8,34,89,14,7,60,20,20,2.0,14,14,60,0,,,67.85714285714286,20.04221420297472,-0.010273253220826,143.4153808270497,2026-04-25 16:17:06.739647
1,YTD,15m,8,26,9,10,3,20,12,21,55,14,7,100,20,20,2.0,14,7,120,0,,,76.19047619047619,21.71195953090741,-0.0178193550728477,93.31422690260246,2026-04-25 16:17:21.735385
1,YTD,15m,8,26,9,10,3,20,12,34,55,14,14,60,10,20,2.0,20,7,60,0,,,68.18181818181817,21.210889573265906,-0.0387959824536132,26.42060187311091,2026-04-25 16:17:48.878013
1,YTD,15m,8,26,9,10,5,14,8,21,89,7,7,100,20,14,2.0,20,14,60,50,,,90.0,22.12683105632624,-0.0418507527024785,30.203826217223277,2026-04-25 16:18:26.169085
1,YTD,15m,8,26,9,10,5,14,8,34,55,7,7,60,20,14,2.0,20,7,60,50,,,66.66666666666666,20.40249740679976,-0.0200290832185956,53.60345863412388,2026-04-25 16:18:37.834916
1,YTD,15m,8,26,9,10,5,14,8,34,55,14,14,60,10,14,2.0,20,14,60,50,,,68.18181818181817,21.12082468813907,-0.0226338177090003,57.91145179066263,2026-04-25 16:18:45.835001
1,YTD,15m,8,26,9,10,5,14,12,34,55,14,14,60,20,14,1.5,20,7,120,50,,,66.66666666666666,24.73447951797766,-0.0155816622108975,88.34288425608567,2026-04-25 16:19:41.208834
1,YTD,15m,8,26,9,10,5,14,12,34,89,14,7,100,20,20,2.0,20,14,60,50,,,70.0,22.26038964777508,-0.0263051783802329,42.575892844572486,2026-04-25 16:19:53.513229
