trades,wr,pf,net_pct,max_dd,calmar,tp,sl,mb,tp_m,sl_m,max_bars
37,8.1,0.124,-22.67,-22.67,-1.0,1,30,6,2.5,0.3,5
35,8.6,0.133,-22.7,-22.7,-1.0,1,31,3,2.5,0.3,10
30,13.3,0.23,-22.71,-22.71,-1.0,3,26,1,2.5,0.7,50
30,20.0,0.196,-22.73,-22.73,-1.0,4,24,2,2.0,0.7,20
30,6.7,0.184,-22.73,-22.73,-1.0,1,27,2,4.0,0.5,25
35,5.7,0.152,-22.81,-22.81,-1.0,0,34,1,5.0,0.3,15
35,5.7,0.152,-22.81,-22.81,-1.0,0,34,1,6.0,0.3,15
31,12.9,0.176,-22.84,-22.84,-1.0,2,26,3,2.5,0.5,20
29,10.3,0.229,-22.86,-22.86,-1.0,1,26,2,4.0,0.7,25
31,9.7,0.177,-22.88,-22.88,-1.0,2,27,2,2.5,0.5,25
34,5.9,0.123,-22.88,-22.88,-1.0,1,32,1,2.5,0.3,20
30,13.3,0.228,-22.94,-22.94,-1.0,3,26,1,2.5,0.7,30
35,14.3,0.18,-22.94,-22.94,-1.0,0,19,16,6.0,0.7,5
35,14.3,0.18,-22.94,-22.94,-1.0,0,19,16,5.0,0.7,5
30,16.7,0.195,-22.96,-22.96,-1.0,4,24,2,2.0,0.7,25
30,6.7,0.172,-23.03,-23.03,-1.0,0,28,2,6.0,0.5,25
30,6.7,0.172,-23.03,-23.03,-1.0,0,28,2,5.0,0.5,25
