min_body,panic_mult,tp_mult,sl_mult,max_bars,trades,wr,pf,net_pct,final_eq,max_dd,calmar
0.05,2.0,3.5,2.5,25,11,90.9,59.096,7.2,10720.34,-0.12,58.758
0.05,2.0,4.0,1.5,0,11,72.7,3.007,8.9,10890.41,-1.43,6.219
0.05,2.0,4.0,1.5,12,11,72.7,3.213,5.0,10499.96,-1.34,3.729
0.05,2.0,4.0,1.5,18,11,63.6,4.65,8.63,10862.89,-1.34,6.436
0.05,2.0,4.0,1.5,25,11,72.7,3.517,7.98,10798.46,-1.43,5.577
0.05,2.0,4.0,2.0,0,11,90.9,9.335,11.13,11112.56,-1.31,8.475
0.05,2.0,4.0,2.0,12,11,72.7,5.197,4.38,10437.72,-0.62,7.008
0.05,2.0,4.0,2.0,18,11,63.6,7.197,7.04,10703.54,-0.49,14.32
0.05,2.0,4.0,2.0,25,11,90.9,63.867,9.8,10979.52,-0.15,63.92
0.05,2.0,4.0,2.5,0,11,90.9,7.789,8.6,10860.17,-1.25,6.88
0.05,2.0,4.0,2.5,12,11,72.7,5.203,3.49,10349.17,-0.5,6.987
0.05,2.0,4.0,2.5,18,11,63.6,7.222,5.6,10559.94,-0.39,14.247
0.05,2.0,4.0,2.5,25,11,90.9,63.57,7.77,10777.35,-0.12,63.409
0.05,99.0,2.5,1.5,0,11,72.7,2.175,5.11,10510.81,-1.43,3.568
0.05,99.0,2.5,1.5,12,11,72.7,2.942,4.37,10437.03,-1.34,3.26
0.05,99.0,2.5,1.5,18,11,63.6,3.533,5.88,10587.76,-1.34,4.384
0.05,99.0,2.5,1.5,25,11,72.7,2.68,5.25,10524.97,-1.43,3.667
0.05,99.0,2.5,2.0,0,11,90.9,6.879,7.79,10778.97,-1.31,5.934
0.05,99.0,2.5,2.0,12,11,72.7,4.751,3.9,10390.49,-0.62,6.252
0.05,99.0,2.5,2.0,18,11,63.6,5.44,4.99,10498.6,-0.49,10.149
0.05,99.0,2.5,2.0,25,11,90.9,47.845,7.25,10724.51,-0.15,47.279
0.05,99.0,2.5,2.5,0,11,90.9,5.747,5.98,10597.84,-1.25,4.782
0.05,99.0,2.5,2.5,12,11,72.7,4.755,3.12,10311.56,-0.5,6.234
0.05,99.0,2.5,2.5,18,11,63.6,5.455,3.97,10397.41,-0.39,10.112
0.05,99.0,2.5,2.5,25,11,90.9,47.644,5.76,10576.07,-0.12,46.99
0.05,99.0,3.0,1.5,0,11,72.7,2.394,6.09,10609.39,-1.43,4.256
0.05,99.0,3.0,1.5,12,11,72.7,2.918,4.32,10431.61,-1.34,3.219
0.05,99.0,3.0,1.5,18,11,63.6,3.799,6.52,10652.01,-1.34,4.863
0.05,99.0,3.0,1.5,25,11,72.7,2.88,5.89,10588.83,-1.43,4.113
0.05,99.0,3.0,2.0,0,11,90.9,7.843,9.09,10908.84,-1.31,6.923
0.05,99.0,3.0,2.0,12,11,72.7,4.713,3.86,10386.46,-0.62,6.188
0.05,99.0,3.0,2.0,18,11,63.6,5.857,5.47,10546.54,-0.49,11.125
0.05,99.0,3.0,2.0,25,11,90.9,52.608,8.0,10800.16,-0.15,52.215
0.05,99.0,3.0,2.5,0,11,90.9,6.548,7.0,10700.1,-1.25,5.6
