session,adx,tp,sl,pb_pct,trail_dist,risk_pct,trades,wr,pf,ret,mdd
no_overnight,25,5.0,1.5,0.5,0.4,0.015,11,63.63636363636363,3.11013335344781,15.813861726995215,-5.58835354717854
all,25,5.0,1.5,0.5,0.4,0.015,11,63.63636363636363,3.11013335344781,15.813861726995215,-5.58835354717854
all,25,5.0,1.5,0.4,0.4,0.015,11,63.63636363636363,3.11013335344781,15.813861726995215,-5.58835354717854
no_overnight,25,5.0,1.5,0.4,0.4,0.015,11,63.63636363636363,3.11013335344781,15.813861726995215,-5.58835354717854
no_overnight,25,5.0,1.5,0.3,0.4,0.015,11,63.63636363636363,3.11013335344781,15.813861726995215,-5.58835354717854
no_overnight,22,4.5,2.5,0.3,0.6,0.02,12,75.0,3.1869544940822823,15.803904878206133,-4.790216310019313
all,22,4.5,2.5,0.3,0.6,0.02,12,75.0,3.1869544940822823,15.803904878206133,-4.790216310019313
no_overnight,22,4.5,2.5,0.4,0.6,0.02,12,75.0,3.1869544940822823,15.803904878206133,-4.790216310019313
no_overnight,22,4.5,2.5,0.5,0.6,0.02,12,75.0,3.1869544940822823,15.803904878206133,-4.790216310019313
all,22,4.5,2.5,0.5,0.6,0.02,12,75.0,3.1869544940822823,15.803904878206133,-4.790216310019313
all,22,4.5,2.5,0.4,0.6,0.02,12,75.0,3.1869544940822823,15.803904878206133,-4.790216310019313
all,22,4.5,2.5,0.3,1.0,0.02,12,75.0,3.1703810539153436,15.740060945667956,-4.790216310019313
all,22,4.5,2.5,0.5,1.0,0.02,12,75.0,3.1703810539153436,15.740060945667956,-4.790216310019313
all,22,4.5,2.5,0.4,1.0,0.02,12,75.0,3.1703810539153436,15.740060945667956,-4.790216310019313
no_overnight,22,4.5,2.5,0.4,1.0,0.02,12,75.0,3.1703810539153436,15.740060945667956,-4.790216310019313
no_overnight,22,4.5,2.5,0.3,1.0,0.02,12,75.0,3.1703810539153436,15.740060945667956,-4.790216310019313
no_overnight,22,4.5,2.5,0.5,1.0,0.02,12,75.0,3.1703810539153436,15.740060945667956,-4.790216310019313
all,18,5.0,2.5,0.3,0.4,0.02,13,69.23076923076923,2.6243076467525026,15.726947350686228,-4.790216310019313
all,20,5.0,2.5,0.3,0.4,0.02,13,69.23076923076923,2.6243076467525026,15.726947350686228,-4.790216310019313
all,20,5.0,2.5,0.5,0.4,0.02,13,69.23076923076923,2.6243076467525026,15.726947350686228,-4.790216310019313
all,20,5.0,2.5,0.4,0.4,0.02,13,69.23076923076923,2.6243076467525026,15.726947350686228,-4.790216310019313
no_overnight,20,5.0,2.5,0.4,0.4,0.02,13,69.23076923076923,2.6243076467525026,15.726947350686228,-4.790216310019313
no_overnight,20,5.0,2.5,0.5,0.4,0.02,13,69.23076923076923,2.6243076467525026,15.726947350686228,-4.790216310019313
no_overnight,18,5.0,2.5,0.3,0.4,0.02,13,69.23076923076923,2.6243076467525026,15.726947350686228,-4.790216310019313
no_overnight,20,5.0,2.5,0.3,0.4,0.02,13,69.23076923076923,2.6243076467525026,15.726947350686228,-4.790216310019313
no_overnight,22,5.0,2.0,0.5,1.0,0.02,12,66.66666666666666,2.671048373213683,15.686272687327651,-4.559229806416697
no_overnight,22,5.0,2.0,0.3,1.0,0.02,12,66.66666666666666,2.671048373213683,15.686272687327651,-4.559229806416697
all,22,5.0,2.0,0.3,1.0,0.02,12,66.66666666666666,2.671048373213683,15.686272687327651,-4.559229806416697
all,22,5.0,2.0,0.5,1.0,0.02,12,66.66666666666666,2.671048373213683,15.686272687327651,-4.559229806416697
all,22,5.0,2.0,0.4,1.0,0.02,12,66.66666666666666,2.671048373213683,15.686272687327651,-4.559229806416697
