em,at,pb,mb,pm,sl,tp,ta,td,rl,rh,rs,rx,vm,dl,ds,pf,wr,np,n,dd
34,25,0.15,0.15,2.0,1.0,1.5,99.0,0.5,42,70,30,58,1.0,True,False,1.593249466389347,54.54545454545454,3.3606435277320816,11,-2.083261917113081
34,25,0.15,0.15,2.0,1.0,2.0,99.0,0.5,42,70,30,58,1.0,True,False,1.5929342288260726,50.0,3.648358508113215,10,-2.0832619171130773
50,20,0.1,0.15,2.0,1.0,3.0,99.0,0.5,42,70,30,58,1.0,True,False,1.5795352195199097,39.130434782608695,10.302014123946647,23,-5.8512984963882015
34,28,0.15,0.15,2.0,1.0,1.5,99.0,0.5,42,70,30,58,1.0,True,True,1.5783064896365797,52.38095238095239,6.492018644497947,21,-3.075122565276826
34,20,0.1,0.15,2.0,2.0,2.5,99.0,0.5,42,70,30,58,1.0,True,False,1.574479767656947,57.89473684210527,5.07067188244111,19,-3.9734979082399113
50,20,0.25,0.15,2.0,1.5,3.0,99.0,0.5,42,70,30,58,1.0,True,False,1.570148264032809,48.275862068965516,10.688650550659439,29,-6.809564455996783
50,28,0.25,0.15,2.0,1.0,2.0,99.0,0.5,42,70,30,58,1.0,True,False,1.5693311232700007,47.05882352941176,5.803461597414025,17,-3.288876341949444
34,28,0.1,0.15,2.0,1.0,1.5,2.0,0.5,42,70,30,58,1.0,True,True,1.5626858058948918,55.00000000000001,5.549699158938038,20,-3.075122565276804
34,20,0.1,0.15,2.0,1.5,2.0,99.0,0.5,42,70,30,58,1.0,True,False,1.5612514934336872,57.89473684210527,5.237409268681841,19,-4.305775107244793
50,28,0.1,0.15,2.0,1.0,1.5,99.0,0.5,42,70,30,58,1.0,True,True,1.5567360400334582,52.0,7.363148784822078,25,-4.112874954370114
34,25,0.1,0.15,2.0,1.0,1.5,99.0,0.5,42,70,30,58,1.0,True,True,1.552212939633405,52.0,7.3833774312384595,25,-4.163192275419142
50,28,0.15,0.15,2.0,1.0,3.0,99.0,0.5,42,70,30,58,1.0,True,True,1.5504919903218095,36.0,10.117351160457565,25,-4.112874954370093
34,20,0.25,0.15,2.0,1.0,2.0,99.0,0.5,42,70,30,58,1.0,True,False,1.5400165218711799,50.0,10.754498752840318,30,-7.1248068727165315
34,25,0.1,0.15,2.0,1.0,3.0,2.0,0.5,42,70,30,58,1.0,True,False,1.5375913119305062,55.55555555555556,2.366480290131276,9,-2.0832619171130915
34,25,0.1,0.15,2.0,1.0,2.5,2.0,0.5,42,70,30,58,1.0,True,False,1.5375913119305062,55.55555555555556,2.366480290131276,9,-2.0832619171130915
34,25,0.25,0.15,2.0,1.0,2.5,99.0,0.5,42,70,30,58,1.0,True,True,1.5373197431040948,41.935483870967744,11.702234330568372,31,-4.705866719440765
34,28,0.1,0.15,2.0,2.0,2.5,99.0,0.5,42,70,30,58,1.0,True,False,1.535243351411256,57.14285714285714,1.7080560305005748,7,-1.0551667424749354
34,20,0.1,0.15,2.0,1.0,1.5,2.0,0.5,42,70,30,58,1.0,True,False,1.532753501035889,57.89473684210527,5.469162380008074,19,-3.934938903913616
34,20,0.25,0.15,2.0,2.0,2.0,99.0,0.5,42,70,30,58,1.0,True,False,1.5310377540695892,62.96296296296296,5.868836812171303,27,-4.4096069818830985
50,28,0.15,0.15,2.0,1.5,3.0,99.0,0.5,42,70,30,58,1.0,True,False,1.5304672957681842,46.15384615384615,4.23941838923798,13,-3.094114766377796
34,20,0.1,0.15,2.0,1.0,2.5,99.0,0.5,42,70,30,58,1.0,True,True,1.5263407413502306,42.10526315789473,14.795879476323426,38,-9.3160865877662
50,20,0.15,0.15,2.0,1.0,2.5,99.0,0.5,42,70,30,58,1.0,True,False,1.52470903749998,44.0,9.902102890369207,25,-7.886149403233533
50,28,0.1,0.15,2.0,1.5,2.5,99.0,0.5,42,70,30,58,1.0,True,False,1.5197136668935414,50.0,3.369575963596162,12,-3.0941147663777904
50,33,0.1,0.15,2.0,1.0,2.5,99.0,0.5,42,70,30,58,1.0,True,True,1.5187027324223912,40.0,5.067073478842303,15,-5.1352560634352695
50,33,0.15,0.15,2.0,1.0,2.5,99.0,0.5,42,70,30,58,1.0,True,True,1.5187027324223912,40.0,5.067073478842303,15,-5.1352560634352695
34,20,0.15,0.15,2.0,2.0,2.5,99.0,0.5,42,70,30,58,1.0,True,False,1.5148927953344289,57.14285714285714,5.17176855266378,21,-5.025398224240524
34,33,0.1,0.15,2.0,1.5,2.5,99.0,0.5,42,70,30,58,1.0,True,False,1.5131845265575692,50.0,1.667913806669476,6,-2.094417091063559
34,33,0.15,0.15,2.0,1.5,2.5,99.0,0.5,42,70,30,58,1.0,True,False,1.5131845265575692,50.0,1.667913806669476,6,-2.094417091063559
34,25,0.15,0.15,2.0,1.0,1.5,99.0,0.5,42,70,30,58,1.0,True,True,1.5118893165090357,51.85185185185185,7.498200166700007,27,-4.163192275419142
34,25,0.1,0.15,2.0,1.5,2.0,99.0,0.5,42,70,30,58,1.0,True,False,1.509187574743217,55.55555555555556,2.1847036459213087,9,-2.0517836677945853
34,20,0.15,0.15,2.0,1.5,2.0,99.0,0.5,42,70,30,58,1.0,True,False,1.5074173655797385,57.14285714285714,5.375830169790151,21,-5.38466636145737
34,20,0.25,0.15,2.0,1.5,1.5,99.0,0.5,42,70,30,58,1.0,True,False,1.5073547690266949,64.28571428571429,6.0358225937039425,28,-4.2926526233194835
50,33,0.15,0.15,2.0,1.5,3.0,99.0,0.5,42,70,30,58,1.0,True,False,1.5065024919502334,44.44444444444444,2.731536443431269,9,-2.079442844968715
50,33,0.1,0.15,2.0,1.5,3.0,99.0,0.5,42,70,30,58,1.0,True,False,1.5065024919502334,44.44444444444444,2.731536443431269,9,-2.079442844968715
34,20,0.25,0.15,2.0,1.0,2.5,99.0,0.5,42,70,30,58,1.0,True,True,1.4998158388053013,42.30769230769231,20.18846147822649,52,-11.64856609167729
34,28,0.15,0.15,2.0,1.0,3.0,99.0,0.5,42,70,30,58,1.0,True,True,1.495466190407083,35.0,7.336911178952087,20,-3.12689633750982
34,28,0.15,0.15,2.0,1.0,2.5,99.0,0.5,42,70,30,58,1.0,True,True,1.4946870586867056,40.0,6.74791208274206,20,-3.126896337509829
50,28,0.15,0.15,2.0,1.0,2.5,99.0,0.5,42,70,30,58,1.0,True,True,1.494491875150323,40.0,8.452306715929444,25,-4.1128749543701
34,25,0.15,0.15,2.0,1.5,2.5,99.0,0.5,42,70,30,58,1.0,True,False,1.4931161171079461,50.0,2.70514073394852,10,-2.0517836677945844
34,25,0.15,0.15,2.0,1.0,1.5,2.0,0.5,42,70,30,58,1.0,True,False,1.4904112432093752,54.54545454545454,2.772743055883311,11,-2.0832619171130844
34,25,0.1,0.15,2.0,1.0,3.0,99.0,0.5,42,70,30,58,1.0,True,True,1.489685285180742,34.78260869565217,8.257605569625284,23,-4.163192275419174
50,28,0.15,0.15,2.0,1.0,2.0,99.0,0.5,42,70,30,58,1.0,True,False,1.4888294937537803,46.15384615384615,3.874037603444849,13,-3.1569652360693987
34,28,0.1,0.15,2.0,1.5,1.5,99.0,0.5,42,70,30,58,1.0,True,True,1.484325061096797,60.0,4.141189903215163,20,-3.083275685871135
34,20,0.25,0.15,2.0,1.5,2.0,2.0,0.5,42,70,30,58,1.0,True,False,1.48098328464161,62.96296296296296,5.56618028887593,27,-4.675571236305808
34,20,0.25,0.15,2.0,1.5,2.5,99.0,0.5,42,70,30,58,1.0,True,True,1.4793734843080082,50.0,13.95761811465931,48,-9.500286110446078
50,33,0.25,0.15,2.0,1.0,2.5,99.0,0.5,42,70,30,58,1.0,True,False,1.478055241570032,40.0,3.173069925187283,10,-3.1893611983748857
34,20,0.1,0.15,2.0,1.5,1.5,99.0,0.5,42,70,30,58,1.0,True,False,1.476295968891743,63.1578947368421,3.8445748332517176,19,-3.606356459192112
50,20,0.25,0.15,2.0,1.5,2.5,99.0,0.5,42,70,30,58,1.0,True,False,1.4692438943016037,51.61290322580645,8.778597356853771,31,-7.524370240041983
34,28,0.25,0.15,2.0,1.0,2.0,2.0,0.5,42,70,30,58,1.0,True,False,1.4684327025805721,50.0,3.1802395125818292,12,-2.2248500476412008
34,20,0.25,0.15,2.0,1.0,1.5,99.0,0.5,42,70,30,58,1.0,True,False,1.4638836800173853,54.83870967741935,8.084405499866698,31,-5.410511385543062
34,25,0.25,0.15,2.0,1.0,2.0,2.0,0.5,42,70,30,58,1.0,True,False,1.4630966785638193,53.333333333333336,3.856745329106434,15,-2.6592232258993267
34,20,0.1,0.15,2.0,1.5,1.5,99.0,0.5,42,70,30,58,1.0,True,True,1.4624001895497842,61.53846153846154,7.93054591464337,39,-6.687149757971132
34,25,0.25,0.15,2.0,1.5,1.5,99.0,0.5,42,70,30,58,1.0,True,False,1.4623428770359532,62.5,3.1319663906816277,16,-2.0517836677945716
34,20,0.25,0.15,2.0,1.5,1.5,2.0,0.5,42,70,30,58,1.0,True,False,1.4615398261577712,64.28571428571429,5.478867104327382,28,-4.292652623319497
50,28,0.25,0.15,2.0,1.0,2.5,99.0,0.5,42,70,30,58,1.0,True,True,1.4567860814362696,40.0,9.572074386212334,30,-4.318646539280035
34,20,0.25,0.15,2.0,1.5,2.0,99.0,0.5,42,70,30,58,1.0,True,True,1.456034473013859,55.10204081632652,11.819628621096799,49,-9.152602728725597
34,20,0.25,0.15,2.0,1.5,3.0,2.0,0.5,42,70,30,58,1.0,True,False,1.4555015923202925,62.96296296296296,5.264820419261305,27,-4.947693968649687
34,20,0.25,0.15,2.0,1.5,2.5,2.0,0.5,42,70,30,58,1.0,True,False,1.4555015923202925,62.96296296296296,5.264820419261305,27,-4.947693968649687
34,25,0.15,0.15,2.0,1.0,2.5,99.0,0.5,42,70,30,58,1.0,True,True,1.4514494272772587,40.0,7.992093061663145,25,-5.474813465091302
34,28,0.25,0.15,2.0,1.0,2.5,99.0,0.5,42,70,30,58,1.0,True,True,1.4483421980731261,40.0,7.8500819161007165,25,-3.657256258105282
34,20,0.15,0.15,2.0,1.5,1.5,99.0,0.5,42,70,30,58,1.0,True,True,1.4476573468506906,61.904761904761905,8.383952663904036,42,-7.167949003352876
34,20,0.15,0.15,2.0,1.5,1.5,99.0,0.5,42,70,30,58,1.0,True,False,1.4471461254758273,63.63636363636363,4.280816776665379,22,-4.1030296500099395
