rsi_dir,ema_slope,pb_pct,adx_thresh,tp,risk,n,wr,pf,ret,mdd,calmar
0,1,0.4,14,9.0,0.025,13,15.4,0.608,-10.05,-23.01,-0.44
1,1,0.3,14,9.0,0.025,13,15.4,0.608,-10.05,-23.01,-0.44
1,1,0.4,14,9.0,0.025,13,15.4,0.608,-10.05,-23.01,-0.44
0,1,0.3,14,9.0,0.025,13,15.4,0.608,-10.05,-23.01,-0.44
0,1,0.5,14,9.0,0.03,17,17.6,0.725,-10.2,-24.17,-0.42
0,0,0.2,14,6.0,0.03,13,23.1,0.628,-10.39,-23.63,-0.44
0,1,0.4,14,6.0,0.03,13,23.1,0.609,-10.48,-19.01,-0.55
0,1,0.3,14,6.0,0.03,13,23.1,0.609,-10.48,-19.01,-0.55
1,1,0.3,14,6.0,0.03,13,23.1,0.609,-10.48,-19.01,-0.55
1,1,0.4,14,6.0,0.03,13,23.1,0.609,-10.48,-19.01,-0.55
1,1,0.3,14,9.0,0.03,13,15.4,0.617,-10.61,-24.52,-0.43
0,0,0.5,17,7.0,0.02,19,21.1,0.672,-10.61,-18.75,-0.57
0,1,0.3,14,9.0,0.03,13,15.4,0.617,-10.61,-24.52,-0.43
0,1,0.4,14,9.0,0.03,13,15.4,0.617,-10.61,-24.52,-0.43
1,1,0.4,14,9.0,0.03,13,15.4,0.617,-10.61,-24.52,-0.43
1,1,0.2,17,8.0,0.03,7,14.3,0.38,-10.65,-10.65,-1.0
0,1,0.2,20,9.0,0.03,4,0.0,0.0,-10.68,-10.68,-1.0
0,1,0.2,20,8.0,0.03,4,0.0,0.0,-10.68,-10.68,-1.0
0,1,0.2,20,6.0,0.03,4,0.0,0.0,-10.68,-10.68,-1.0
0,1,0.2,20,7.0,0.03,4,0.0,0.0,-10.68,-10.68,-1.0
1,0,0.5,14,9.0,0.025,18,16.7,0.713,-10.76,-25.17,-0.43
0,0,0.4,14,8.0,0.025,16,18.8,0.661,-10.82,-23.5,-0.46
1,0,0.3,14,8.0,0.025,16,18.8,0.661,-10.82,-23.5,-0.46
1,1,0.5,17,9.0,0.02,14,14.3,0.59,-10.82,-16.03,-0.68
1,0,0.4,14,8.0,0.025,16,18.8,0.661,-10.82,-23.5,-0.46
0,0,0.3,14,8.0,0.025,16,18.8,0.661,-10.82,-23.5,-0.46
1,0,0.2,17,6.0,0.02,11,18.2,0.436,-10.86,-14.83,-0.73
0,1,0.4,17,6.0,0.02,11,18.2,0.444,-10.87,-12.85,-0.85
1,1,0.5,14,6.0,0.03,16,25.0,0.675,-10.87,-19.36,-0.56
1,1,0.3,17,6.0,0.02,11,18.2,0.444,-10.87,-12.85,-0.85
0,1,0.3,17,6.0,0.02,11,18.2,0.444,-10.87,-12.85,-0.85
1,1,0.4,17,6.0,0.02,11,18.2,0.444,-10.87,-12.85,-0.85
1,0,0.5,14,6.0,0.02,18,22.2,0.639,-10.88,-18.27,-0.6
0,1,0.5,14,6.0,0.025,17,23.5,0.66,-10.98,-18.88,-0.58
0,1,0.5,20,6.0,0.025,11,18.2,0.53,-10.98,-14.43,-0.76
1,0,0.4,14,7.0,0.02,16,18.8,0.594,-11.03,-19.93,-0.55
0,0,0.3,14,7.0,0.02,16,18.8,0.594,-11.03,-19.93,-0.55
0,0,0.4,14,7.0,0.02,16,18.8,0.594,-11.03,-19.93,-0.55
1,0,0.3,14,7.0,0.02,16,18.8,0.594,-11.03,-19.93,-0.55
1,0,0.5,20,9.0,0.02,14,14.3,0.584,-11.07,-16.26,-0.68
0,1,0.5,20,6.0,0.03,11,18.2,0.539,-11.53,-15.57,-0.74
1,0,0.5,14,7.0,0.03,18,22.2,0.709,-11.55,-24.02,-0.48
0,0,0.2,17,7.0,0.02,12,16.7,0.461,-11.57,-16.22,-0.71
1,0,0.5,17,6.0,0.02,18,22.2,0.613,-11.65,-18.26,-0.64
0,0,0.5,14,9.0,0.02,19,15.8,0.652,-11.79,-23.51,-0.5
1,1,0.5,17,9.0,0.025,14,14.3,0.612,-11.82,-18.11,-0.65
1,0,0.3,14,8.0,0.03,16,18.8,0.663,-11.86,-26.28,-0.45
0,1,0.2,17,8.0,0.025,8,12.5,0.355,-11.86,-11.86,-1.0
1,0,0.4,14,8.0,0.03,16,18.8,0.663,-11.86,-26.28,-0.45
0,0,0.4,14,8.0,0.03,16,18.8,0.663,-11.86,-26.28,-0.45
0,0,0.3,14,8.0,0.03,16,18.8,0.663,-11.86,-26.28,-0.45
0,0,0.5,14,7.0,0.025,19,21.1,0.686,-11.88,-22.65,-0.52
1,0,0.5,14,9.0,0.03,18,16.7,0.71,-11.91,-28.23,-0.42
1,0,0.5,17,7.0,0.025,18,22.2,0.668,-11.97,-20.76,-0.58
1,0,0.5,20,8.0,0.02,14,14.3,0.519,-12.7,-17.03,-0.75
1,1,0.5,17,9.0,0.03,14,14.3,0.612,-12.79,-20.1,-0.64
1,1,0.4,17,7.0,0.025,11,18.2,0.442,-12.84,-14.98,-0.86
0,1,0.3,17,7.0,0.025,11,18.2,0.442,-12.84,-14.98,-0.86
0,1,0.4,17,7.0,0.025,11,18.2,0.442,-12.84,-14.98,-0.86
1,1,0.3,17,7.0,0.025,11,18.2,0.442,-12.84,-14.98,-0.86
0,0,0.5,14,9.0,0.025,19,15.8,0.672,-12.88,-26.94,-0.48
0,1,0.5,17,9.0,0.02,15,13.3,0.544,-12.93,-18.02,-0.72
1,1,0.3,20,6.0,0.02,6,0.0,0.0,-12.94,-12.94,-1.0
1,1,0.3,20,8.0,0.02,6,0.0,0.0,-12.94,-12.94,-1.0
1,1,0.3,20,7.0,0.02,6,0.0,0.0,-12.94,-12.94,-1.0
1,1,0.3,20,9.0,0.02,6,0.0,0.0,-12.94,-12.94,-1.0
1,0,0.5,20,9.0,0.025,14,14.3,0.589,-12.95,-19.16,-0.68
0,1,0.3,20,8.0,0.02,6,0.0,0.0,-12.96,-12.96,-1.0
0,1,0.3,20,9.0,0.02,6,0.0,0.0,-12.96,-12.96,-1.0
0,1,0.3,20,7.0,0.02,6,0.0,0.0,-12.96,-12.96,-1.0
0,1,0.3,20,6.0,0.02,6,0.0,0.0,-12.96,-12.96,-1.0
1,0,0.5,17,8.0,0.02,18,16.7,0.605,-12.97,-17.29,-0.75
0,1,0.5,14,6.0,0.03,17,23.5,0.631,-12.98,-21.27,-0.61
0,0,0.5,14,6.0,0.02,19,21.1,0.593,-12.99,-20.2,-0.64
1,0,0.2,17,7.0,0.025,11,18.2,0.428,-13.01,-17.58,-0.74
0,0,0.2,17,6.0,0.02,12,16.7,0.389,-13.05,-16.92,-0.77
0,0,0.5,20,9.0,0.02,15,13.3,0.538,-13.19,-18.26,-0.72
0,0,0.4,14,6.0,0.02,16,18.8,0.502,-13.43,-20.61,-0.65
0,0,0.3,14,6.0,0.02,16,18.8,0.502,-13.43,-20.61,-0.65
1,0,0.3,14,6.0,0.02,16,18.8,0.502,-13.43,-20.61,-0.65
1,0,0.4,14,6.0,0.02,16,18.8,0.502,-13.43,-20.61,-0.65
1,0,0.5,14,6.0,0.025,18,22.2,0.62,-13.51,-22.3,-0.61
0,1,0.2,17,8.0,0.03,8,12.5,0.325,-13.53,-13.53,-1.0
1,0,0.3,14,7.0,0.025,16,18.8,0.572,-13.57,-24.14,-0.56
0,0,0.3,14,7.0,0.025,16,18.8,0.572,-13.57,-24.14,-0.56
1,0,0.4,14,7.0,0.025,16,18.8,0.572,-13.57,-24.14,-0.56
0,0,0.4,14,7.0,0.025,16,18.8,0.572,-13.57,-24.14,-0.56
0,0,0.5,14,7.0,0.03,19,21.1,0.67,-13.65,-25.82,-0.53
0,0,0.5,17,6.0,0.02,19,21.1,0.569,-13.74,-20.19,-0.68
0,1,0.5,17,9.0,0.025,15,13.3,0.57,-13.91,-20.05,-0.69
0,0,0.5,14,9.0,0.03,19,15.8,0.672,-14.0,-29.94,-0.47
0,0,0.5,17,7.0,0.025,19,21.1,0.628,-14.05,-22.64,-0.62
0,1,0.3,17,6.0,0.025,11,18.2,0.374,-14.3,-15.7,-0.91
1,1,0.4,17,6.0,0.025,11,18.2,0.374,-14.3,-15.7,-0.91
1,1,0.3,17,6.0,0.025,11,18.2,0.374,-14.3,-15.7,-0.91
0,1,0.4,17,6.0,0.025,11,18.2,0.374,-14.3,-15.7,-0.91
1,0,0.5,20,7.0,0.02,14,14.3,0.452,-14.32,-17.8,-0.8
1,0,0.2,17,6.0,0.025,11,18.2,0.361,-14.46,-18.27,-0.79
1,0,0.5,20,9.0,0.03,14,14.3,0.579,-14.52,-21.67,-0.67
0,0,0.4,14,9.0,0.02,16,12.5,0.476,-14.66,-26.0,-0.56
1,0,0.3,14,9.0,0.02,16,12.5,0.476,-14.66,-26.0,-0.56
0,0,0.3,14,9.0,0.02,16,12.5,0.476,-14.66,-26.0,-0.56
1,0,0.4,14,9.0,0.02,16,12.5,0.476,-14.66,-26.0,-0.56
1,0,0.2,20,8.0,0.02,7,0.0,0.0,-14.69,-14.69,-1.0
1,0,0.2,20,6.0,0.02,7,0.0,0.0,-14.69,-14.69,-1.0
1,0,0.2,20,7.0,0.02,7,0.0,0.0,-14.69,-14.69,-1.0
1,0,0.2,20,9.0,0.02,7,0.0,0.0,-14.69,-14.69,-1.0
1,0,0.5,17,7.0,0.03,18,22.2,0.627,-14.78,-24.0,-0.62
0,0,0.5,20,8.0,0.02,15,13.3,0.478,-14.79,-19.01,-0.78
1,0,0.5,20,8.0,0.025,14,14.3,0.523,-14.86,-20.03,-0.74
0,1,0.5,17,9.0,0.03,15,13.3,0.573,-14.86,-22.0,-0.68
0,0,0.4,14,7.0,0.03,16,18.8,0.573,-14.9,-26.89,-0.55
0,0,0.3,14,7.0,0.03,16,18.8,0.573,-14.9,-26.89,-0.55
1,0,0.4,14,7.0,0.03,16,18.8,0.573,-14.9,-26.89,-0.55
1,0,0.3,14,7.0,0.03,16,18.8,0.573,-14.9,-26.89,-0.55
1,1,0.2,17,9.0,0.02,7,0.0,0.0,-14.93,-14.93,-1.0
0,0,0.5,20,9.0,0.025,15,13.3,0.549,-15.03,-21.09,-0.71
0,0,0.5,17,8.0,0.02,19,15.8,0.566,-15.03,-19.25,-0.78
0,1,0.3,17,7.0,0.03,11,18.2,0.401,-15.05,-16.65,-0.9
1,1,0.4,17,7.0,0.03,11,18.2,0.401,-15.05,-16.65,-0.9
0,1,0.4,17,7.0,0.03,11,18.2,0.401,-15.05,-16.65,-0.9
1,1,0.3,17,7.0,0.03,11,18.2,0.401,-15.05,-16.65,-0.9
