rsi_dir,ema_slope,trade_mode,adx_thresh,sl,tp,risk,n,wr,pf,ret,mdd,calmar
1,0,shorts,20,2.0,7.0,0.02,15,33.3,0.942,-1.3,-1.3,-1.0
0,0,shorts,17,2.0,8.0,0.02,21,28.6,0.96,-1.32,-1.32,-1.0
0,1,both,20,1.5,8.0,0.025,25,28.0,0.96,-1.45,-1.93,-0.75
0,1,shorts,20,1.5,10.0,0.02,17,23.5,0.941,-1.48,-4.69,-0.32
0,1,shorts,20,2.0,10.0,0.02,16,25.0,0.941,-1.5,-6.15,-0.24
1,1,shorts,20,1.5,7.0,0.025,15,33.3,0.934,-1.51,-1.51,-1.0
0,1,both,20,1.5,9.0,0.02,25,24.0,0.957,-1.53,-2.99,-0.51
0,0,shorts,14,1.5,8.0,0.02,27,25.9,0.961,-1.53,-1.53,-1.0
0,0,shorts,20,1.5,10.0,0.02,17,23.5,0.939,-1.54,-4.69,-0.33
1,0,shorts,20,1.5,7.0,0.025,15,33.3,0.932,-1.55,-1.55,-1.0
0,1,longs,20,1.5,7.0,0.02,8,25.0,0.846,-1.56,-5.16,-0.3
0,1,longs,20,1.5,7.0,0.025,8,25.0,0.846,-1.56,-5.16,-0.3
1,0,shorts,17,1.5,7.0,0.02,20,30.0,0.944,-1.59,-1.59,-1.0
0,0,shorts,20,2.0,10.0,0.02,16,25.0,0.938,-1.59,-6.15,-0.26
0,0,longs,20,1.5,8.0,0.025,9,22.2,0.858,-1.65,-5.81,-0.28
0,0,longs,20,1.5,8.0,0.02,9,22.2,0.858,-1.65,-5.81,-0.28
0,0,longs,17,2.0,5.0,0.025,14,35.7,0.907,-1.7,-7.22,-0.24
0,1,shorts,17,2.0,8.0,0.025,20,30.0,0.949,-1.72,-1.72,-1.0
0,1,longs,20,2.0,5.0,0.025,8,37.5,0.83,-1.73,-6.83,-0.25
0,1,longs,20,2.0,5.0,0.02,8,37.5,0.83,-1.73,-6.83,-0.25
0,1,shorts,14,1.5,7.0,0.02,25,28.0,0.949,-1.75,-3.04,-0.58
0,1,longs,17,2.0,5.0,0.025,14,35.7,0.902,-1.78,-7.22,-0.25
1,1,shorts,17,2.0,7.0,0.02,19,31.6,0.937,-1.8,-1.8,-1.0
1,0,shorts,14,2.0,10.0,0.025,24,25.0,0.954,-1.92,-7.32,-0.26
1,1,shorts,14,2.0,6.0,0.02,23,34.8,0.94,-1.95,-4.71,-0.41
1,0,longs,20,1.5,5.0,0.02,9,33.3,0.789,-2.1,-5.47,-0.38
1,0,longs,20,1.5,5.0,0.025,9,33.3,0.789,-2.1,-5.47,-0.38
1,1,shorts,14,2.0,7.0,0.025,22,31.8,0.939,-2.11,-5.22,-0.4
0,0,longs,14,1.5,5.0,0.02,20,30.0,0.908,-2.17,-6.51,-0.33
1,0,longs,17,2.0,5.0,0.025,14,35.7,0.877,-2.23,-7.62,-0.29
0,1,longs,14,1.5,5.0,0.02,20,30.0,0.905,-2.24,-6.51,-0.35
1,1,longs,20,2.0,5.0,0.02,8,37.5,0.778,-2.26,-7.22,-0.31
1,1,longs,20,2.0,5.0,0.025,8,37.5,0.778,-2.26,-7.22,-0.31
0,1,shorts,17,2.0,6.0,0.02,20,35.0,0.917,-2.32,-3.69,-0.63
0,1,shorts,17,1.5,7.0,0.02,21,28.6,0.92,-2.34,-2.34,-1.0
0,1,longs,20,2.0,8.0,0.02,8,25.0,0.805,-2.4,-6.53,-0.37
0,0,longs,20,2.0,6.0,0.02,9,33.3,0.803,-2.4,-6.1,-0.39
0,0,longs,20,2.0,6.0,0.025,9,33.3,0.803,-2.4,-6.1,-0.39
0,1,longs,20,2.0,8.0,0.025,8,25.0,0.805,-2.4,-6.53,-0.37
0,0,shorts,14,2.0,7.0,0.02,26,30.8,0.937,-2.48,-4.07,-0.61
1,0,both,20,2.0,7.0,0.02,24,33.3,0.927,-2.52,-2.62,-0.96
1,0,both,20,1.5,9.0,0.025,24,25.0,0.93,-2.52,-3.7,-0.68
1,0,longs,17,1.5,5.0,0.02,14,28.6,0.842,-2.63,-4.61,-0.57
1,0,longs,17,1.5,5.0,0.025,14,28.6,0.842,-2.63,-4.61,-0.57
0,1,shorts,20,1.5,7.0,0.02,17,29.4,0.887,-2.69,-2.69,-1.0
0,1,shorts,20,2.0,6.0,0.02,17,35.3,0.885,-2.73,-4.09,-0.67
0,0,shorts,20,1.5,7.0,0.02,17,29.4,0.885,-2.74,-2.74,-1.0
0,0,longs,14,1.5,5.0,0.025,20,30.0,0.886,-2.74,-7.06,-0.39
0,0,longs,17,2.0,5.0,0.02,14,35.7,0.847,-2.76,-8.22,-0.34
0,0,both,20,1.5,7.0,0.025,26,30.8,0.923,-2.79,-2.79,-1.0
0,1,longs,14,1.5,5.0,0.025,20,30.0,0.883,-2.82,-7.06,-0.4
0,1,longs,17,2.0,5.0,0.02,14,35.7,0.843,-2.83,-8.22,-0.34
0,0,shorts,20,2.0,6.0,0.02,17,35.3,0.881,-2.83,-4.2,-0.67
0,0,shorts,14,1.5,10.0,0.025,27,22.2,0.934,-2.84,-5.05,-0.56
0,0,shorts,17,1.5,8.0,0.025,22,27.3,0.916,-2.86,-2.86,-1.0
1,0,shorts,14,2.0,8.0,0.025,24,29.2,0.929,-2.88,-4.01,-0.72
0,1,longs,20,1.5,6.0,0.02,8,25.0,0.711,-2.91,-5.89,-0.49
0,1,longs,20,1.5,6.0,0.025,8,25.0,0.711,-2.91,-5.89,-0.49
0,0,both,20,1.5,8.0,0.025,26,26.9,0.922,-2.92,-3.35,-0.87
1,1,shorts,14,1.5,6.0,0.025,24,33.3,0.913,-2.95,-2.95,-1.0
1,1,shorts,20,1.5,6.0,0.02,15,33.3,0.856,-2.96,-2.96,-1.0
1,1,shorts,20,2.0,10.0,0.025,15,26.7,0.888,-2.96,-5.29,-0.56
1,0,shorts,20,1.5,6.0,0.02,15,33.3,0.854,-3.01,-3.01,-1.0
0,0,both,20,1.5,9.0,0.02,26,23.1,0.919,-3.01,-4.4,-0.69
1,0,longs,20,2.0,6.0,0.02,9,33.3,0.751,-3.02,-6.57,-0.46
1,0,both,20,2.0,8.0,0.02,24,29.2,0.916,-3.02,-5.44,-0.56
1,0,longs,20,2.0,6.0,0.025,9,33.3,0.751,-3.02,-6.57,-0.46
1,0,shorts,20,2.0,10.0,0.025,15,26.7,0.886,-3.04,-5.29,-0.58
1,0,shorts,17,2.0,8.0,0.025,20,30.0,0.908,-3.13,-3.13,-1.0
1,1,both,20,1.5,8.0,0.02,23,26.1,0.903,-3.13,-4.28,-0.73
0,1,shorts,17,2.0,7.0,0.02,20,30.0,0.897,-3.14,-3.14,-1.0
1,0,shorts,14,1.5,7.0,0.025,26,30.8,0.922,-3.15,-3.15,-1.0
0,0,shorts,14,2.0,6.0,0.02,26,34.6,0.914,-3.17,-7.21,-0.44
1,1,longs,20,2.0,8.0,0.02,8,25.0,0.736,-3.22,-7.15,-0.45
1,1,both,20,2.0,9.0,0.02,23,26.1,0.911,-3.22,-5.53,-0.58
1,1,longs,20,2.0,8.0,0.025,8,25.0,0.736,-3.22,-7.15,-0.45
0,1,shorts,20,1.5,10.0,0.025,17,23.5,0.88,-3.23,-4.71,-0.69
1,0,longs,17,2.0,5.0,0.02,14,35.7,0.817,-3.28,-8.61,-0.38
0,1,both,20,1.5,9.0,0.025,25,24.0,0.913,-3.28,-3.28,-1.0
0,0,shorts,20,1.5,10.0,0.025,17,23.5,0.878,-3.28,-4.71,-0.7
0,0,shorts,17,2.0,10.0,0.025,20,25.0,0.905,-3.34,-5.32,-0.63
0,0,shorts,17,1.5,10.0,0.025,22,22.7,0.905,-3.34,-3.34,-1.0
1,1,shorts,17,1.5,6.0,0.02,19,31.6,0.869,-3.38,-3.38,-1.0
0,0,shorts,14,1.5,7.0,0.02,28,28.6,0.915,-3.43,-3.43,-1.0
0,1,both,20,2.0,8.0,0.02,25,28.0,0.91,-3.45,-4.82,-0.72
0,1,shorts,14,2.0,7.0,0.025,23,30.4,0.904,-3.45,-6.52,-0.53
0,1,shorts,14,1.5,7.0,0.025,25,28.0,0.903,-3.49,-4.26,-0.82
0,1,shorts,20,2.0,8.0,0.025,17,29.4,0.874,-3.64,-3.64,-1.0
0,1,both,20,2.0,9.0,0.02,24,25.0,0.903,-3.71,-6.52,-0.57
0,0,shorts,20,2.0,8.0,0.025,17,29.4,0.871,-3.73,-3.73,-1.0
0,1,longs,20,2.0,7.0,0.02,8,25.0,0.695,-3.73,-7.24,-0.51
0,1,longs,20,2.0,7.0,0.025,8,25.0,0.695,-3.73,-7.24,-0.51
1,1,shorts,20,2.0,7.0,0.025,15,33.3,0.848,-3.77,-3.77,-1.0
1,1,both,20,1.5,10.0,0.02,23,21.7,0.887,-3.77,-8.31,-0.45
1,1,both,20,2.0,8.0,0.025,23,30.4,0.898,-3.79,-4.58,-0.83
1,0,both,20,1.5,7.0,0.02,24,29.2,0.883,-3.8,-3.8,-1.0
