risk_pct,sl_mult,trail_dist,trail_act,di_align,vol_mult,n,wr,pf,ret,mdd,calmar
0.05,1.0,0.1,2.0,False,1.2,54,48.1,1.659,30.54,-10.38,2.94
0.05,1.0,0.1,2.0,True,1.0,61,49.2,1.795,45.09,-11.75,3.84
0.05,1.0,0.1,2.0,True,1.2,54,48.1,1.659,30.54,-10.38,2.94
0.05,1.0,0.1,2.5,False,1.0,61,44.3,1.78,48.44,-11.23,4.31
0.05,1.0,0.1,2.5,False,1.2,52,42.3,1.611,29.81,-9.85,3.03
0.05,1.0,0.1,2.5,True,1.0,59,44.1,1.76,45.15,-11.23,4.02
0.05,1.0,0.1,2.5,True,1.2,52,42.3,1.611,29.81,-9.85,3.03
0.05,1.0,0.1,3.0,False,1.0,60,41.7,2.027,82.59,-13.05,6.33
0.05,1.0,0.1,3.0,False,1.2,52,40.4,1.673,35.16,-9.85,3.57
0.05,1.0,0.1,3.0,True,1.0,59,40.7,1.95,73.92,-13.05,5.67
0.05,1.0,0.1,3.0,True,1.2,52,40.4,1.673,35.16,-9.85,3.57
0.05,1.0,0.1,3.5,False,1.0,56,35.7,1.923,71.31,-10.72,6.65
0.05,1.0,0.1,3.5,False,1.2,49,30.6,1.188,9.56,-17.47,0.55
0.05,1.0,0.1,3.5,True,1.0,55,34.5,1.833,62.21,-10.72,5.8
0.05,1.0,0.1,3.5,True,1.2,49,30.6,1.188,9.56,-17.47,0.55
0.05,1.0,0.2,2.0,False,1.0,63,49.2,1.745,43.46,-11.86,3.66
