trail_act,trail_dist,tp_mult,max_bars,trades,wr,pf,net_pct,final_eq,max_dd,calmar
1.5,0.5,5.0,30,11,100.0,inf,5.43,10543.29,0.0,inf
1.5,0.5,5.0,0,11,100.0,inf,5.43,10543.29,0.0,inf
1.5,0.5,5.5,18,11,81.8,35.027,5.26,10526.18,-0.15,34.167
1.5,0.5,5.5,22,11,100.0,inf,5.69,10569.05,0.0,inf
1.5,0.5,5.5,25,11,100.0,inf,5.69,10569.05,0.0,inf
1.5,0.5,5.5,30,11,100.0,inf,5.69,10569.05,0.0,inf
1.5,0.5,5.5,0,11,100.0,inf,5.69,10569.05,0.0,inf
1.5,0.5,6.0,18,11,81.8,36.686,5.52,10551.84,-0.15,35.833
1.5,0.5,6.0,22,11,100.0,inf,5.95,10594.82,0.0,inf
1.5,0.5,6.0,25,11,100.0,inf,5.95,10594.82,0.0,inf
1.5,0.5,6.0,30,11,100.0,inf,5.95,10594.82,0.0,inf
1.5,0.5,6.0,0,11,100.0,inf,5.95,10594.82,0.0,inf
1.5,0.6,4.0,18,11,81.8,27.373,4.08,10407.62,-0.15,26.469
1.5,0.6,4.0,22,11,100.0,inf,4.4,10439.58,0.0,inf
1.5,0.6,4.0,25,11,100.0,inf,4.4,10439.58,0.0,inf
1.5,0.6,4.0,30,11,100.0,inf,4.4,10439.58,0.0,inf
1.5,0.6,4.0,0,11,100.0,inf,4.4,10439.58,0.0,inf
1.5,0.6,4.5,18,11,81.8,29.027,4.33,10433.18,-0.15,28.128
1.5,0.6,4.5,22,11,100.0,inf,4.65,10465.22,0.0,inf
1.5,0.6,4.5,25,11,100.0,inf,4.65,10465.22,0.0,inf
1.5,0.6,4.5,30,11,100.0,inf,4.65,10465.22,0.0,inf
1.5,0.6,4.5,0,11,100.0,inf,4.65,10465.22,0.0,inf
1.5,0.6,5.0,18,11,81.8,30.68,4.59,10458.74,-0.15,29.787
1.5,0.6,5.0,22,11,100.0,inf,4.91,10490.85,0.0,inf
1.5,0.6,5.0,25,11,100.0,inf,4.91,10490.85,0.0,inf
1.5,0.6,5.0,30,11,100.0,inf,4.91,10490.85,0.0,inf
1.5,0.6,5.0,0,11,100.0,inf,4.91,10490.85,0.0,inf
1.5,0.6,5.5,18,11,81.8,32.334,4.84,10484.29,-0.15,31.447
1.5,0.6,5.5,22,11,100.0,inf,5.16,10516.48,0.0,inf
1.5,0.6,5.5,25,11,100.0,inf,5.16,10516.48,0.0,inf
1.5,0.6,5.5,30,11,100.0,inf,5.16,10516.48,0.0,inf
1.5,0.6,5.5,0,11,100.0,inf,5.16,10516.48,0.0,inf
1.5,0.6,6.0,18,11,81.8,33.987,5.1,10509.85,-0.15,33.106
1.5,0.6,6.0,22,11,100.0,inf,5.42,10542.12,0.0,inf
