adx,sl_m,trail_dist,tp_m,trail_act,n,wins,losses,tp_x,trail_x,sl_x,wr,net_pct,mdd,calmar
35,1.5,1.0,2.0,3.0,11,10,1,9,1,1,90.9,10.78,-1.18,9.15
35,0.9,0.3,4.0,2.0,12,8,4,0,8,4,66.7,10.69,-2.52,4.24
35,0.9,0.3,2.0,2.0,12,8,4,0,8,4,66.7,10.69,-2.52,4.24
35,0.9,0.3,3.0,2.0,12,8,4,0,8,4,66.7,10.69,-2.52,4.24
33,1.1,0.5,3.0,3.0,13,7,6,0,7,6,53.8,10.65,-3.52,3.02
33,1.5,0.3,2.0,2.0,13,11,2,0,11,2,84.6,10.65,-2.26,4.72
33,1.5,0.3,3.0,2.0,13,11,2,0,11,2,84.6,10.65,-2.26,4.72
33,1.1,0.5,4.0,3.0,13,7,6,0,7,6,53.8,10.65,-3.52,3.02
33,1.5,0.3,4.0,2.0,13,11,2,0,11,2,84.6,10.65,-2.26,4.72
35,0.9,0.7,2.0,3.0,12,8,4,7,1,4,66.7,10.6,-2.52,4.21
28,1.5,0.5,2.0,3.0,26,17,9,13,4,9,65.4,10.59,-3.54,3.0
35,1.0,0.5,4.0,3.0,11,6,5,0,6,5,54.5,10.56,-2.47,4.28
35,1.0,0.5,3.0,3.0,11,6,5,0,6,5,54.5,10.56,-2.47,4.28
28,1.5,0.3,3.0,2.0,26,17,9,0,17,9,65.4,10.47,-3.54,2.96
28,1.5,0.3,2.0,2.0,26,17,9,0,17,9,65.4,10.47,-3.54,2.96
28,1.5,0.3,4.0,2.0,26,17,9,0,17,9,65.4,10.47,-3.54,2.96
33,1.2,0.3,3.0,3.0,13,7,6,0,7,6,53.8,10.44,-3.48,3.0
33,1.2,0.3,4.0,3.0,13,7,6,0,7,6,53.8,10.44,-3.48,3.0
33,1.0,0.2,2.0,2.0,14,9,5,0,9,5,64.3,10.4,-3.58,2.91
33,1.0,0.2,4.0,2.0,14,9,5,0,9,5,64.3,10.4,-3.58,2.91
33,1.0,0.2,3.0,2.0,14,9,5,0,9,5,64.3,10.4,-3.58,2.91
