preset,adx,pb_pct,vol_mult,atr_floor,sl_mult,tp_mult,trail_act,trail_dist,max_bars,risk_pct,trades,wr,pf,net_pct,final_eq,max_dd,calmar
relaxed,15,0.4,0.5,0.0,2.0,10.0,3.5,0.5,20,2.5,23,60.9,2.181,22.53,12253.08,-6.28,3.589
relaxed,15,0.4,0.5,0.0,2.5,9.0,3.0,0.1,20,2.0,23,65.2,2.406,22.52,12252.36,-5.82,3.872
relaxed,15,0.4,0.5,0.0,2.0,9.0,3.0,0.5,20,1.5,23,65.2,2.555,22.51,12250.62,-5.96,3.779
relaxed,15,0.4,0.5,0.0,2.0,8.0,3.0,0.1,20,1.5,23,65.2,2.554,22.51,12250.95,-5.96,3.779
relaxed,15,0.4,0.5,0.0,2.5,9.0,3.0,0.2,0,2.5,23,60.9,1.931,22.51,12250.59,-6.88,3.273
relaxed,15,0.4,0.5,0.0,2.0,10.0,4.0,0.1,0,2.5,23,52.2,1.892,22.5,12249.74,-9.48,2.373
relaxed,15,0.4,0.5,0.0,2.0,10.0,3.5,0.1,0,2.5,23,52.2,1.892,22.5,12249.74,-9.48,2.373
relaxed,15,0.4,0.5,0.0,2.0,7.0,3.0,0.2,20,2.0,23,65.2,2.361,22.49,12249.32,-6.31,3.565
relaxed,15,0.4,0.5,0.0,2.0,10.0,3.0,0.4,0,2.5,23,56.5,1.962,22.49,12248.76,-9.48,2.372
quality,20,0.3,0.7,0.001,2.0,9.0,4.5,0.1,0,2.5,10,60.0,3.545,22.45,12244.57,-6.04,3.717
relaxed,15,0.4,0.5,0.0,2.0,9.0,3.0,0.2,25,2.0,23,56.5,2.163,22.44,12244.43,-8.06,2.785
relaxed,15,0.4,0.5,0.0,2.0,8.0,3.0,0.4,20,2.0,23,65.2,2.363,22.44,12244.11,-6.31,3.557
relaxed,15,0.4,0.5,0.0,2.0,10.0,3.5,0.3,20,2.5,23,60.9,2.179,22.43,12243.41,-6.28,3.573
relaxed,15,0.4,0.5,0.0,2.0,10.0,4.0,0.3,20,2.5,23,60.9,2.179,22.43,12243.41,-6.28,3.573
relaxed,15,0.4,0.5,0.0,2.0,9.0,4.0,0.3,20,2.5,23,60.9,2.177,22.41,12241.27,-6.28,3.57
relaxed,15,0.4,0.5,0.0,2.0,9.0,3.5,0.3,20,2.5,23,60.9,2.177,22.41,12241.27,-6.28,3.57
relaxed,15,0.4,0.5,0.0,2.0,9.0,4.0,0.1,20,2.0,23,60.9,2.224,22.4,12239.86,-6.31,3.55
relaxed,15,0.4,0.5,0.0,2.0,9.0,3.5,0.1,20,2.0,23,60.9,2.224,22.4,12239.86,-6.31,3.55
relaxed,15,0.4,0.5,0.0,2.0,9.0,4.5,0.2,0,2.5,23,52.2,1.887,22.39,12239.02,-9.48,2.361
relaxed,15,0.4,0.5,0.0,2.5,10.0,4.5,0.2,0,2.5,23,56.5,1.851,22.39,12238.71,-6.04,3.705
relaxed,15,0.4,0.5,0.0,2.0,8.0,3.0,0.2,25,2.5,23,56.5,2.113,22.37,12237.15,-8.0,2.797
relaxed,15,0.4,0.5,0.0,2.0,10.0,3.0,0.5,20,1.5,23,65.2,2.545,22.35,12234.78,-5.96,3.752
relaxed,15,0.4,0.5,0.0,2.0,10.0,3.0,0.2,0,2.0,23,56.5,1.986,22.35,12235.31,-9.48,2.358
relaxed,15,0.4,0.5,0.0,2.5,8.0,3.0,0.2,20,2.5,23,65.2,2.267,22.32,12231.51,-5.96,3.744
relaxed,15,0.4,0.5,0.0,2.0,10.0,4.5,0.1,20,2.5,23,60.9,2.175,22.3,12229.89,-6.28,3.552
relaxed,15,0.4,0.5,0.0,2.5,9.0,3.0,0.4,20,2.5,23,65.2,2.268,22.26,12226.28,-5.96,3.735
relaxed,15,0.4,0.5,0.0,2.0,7.0,3.0,0.5,20,2.0,23,65.2,2.347,22.26,12226.32,-6.31,3.529
relaxed,15,0.4,0.5,0.0,2.0,10.0,3.0,0.3,25,2.0,23,56.5,2.156,22.25,12224.58,-8.06,2.761
relaxed,15,0.4,0.5,0.0,2.0,10.0,3.0,0.3,20,1.5,23,65.2,2.542,22.24,12224.33,-5.96,3.735
relaxed,15,0.4,0.5,0.0,2.0,9.0,3.0,0.3,20,1.5,23,65.2,2.541,22.23,12222.89,-5.96,3.732
relaxed,15,0.4,0.5,0.0,2.0,7.0,3.0,0.4,20,2.5,23,65.2,2.287,22.22,12221.52,-6.28,3.538
relaxed,15,0.4,0.5,0.0,2.0,8.0,4.0,0.1,20,2.5,23,60.9,2.162,22.2,12219.79,-6.28,3.536
relaxed,15,0.4,0.5,0.0,2.0,8.0,3.5,0.1,20,2.5,23,60.9,2.162,22.2,12219.79,-6.28,3.536
