timestamp,symbol,version,total_trades,wins,losses,win_rate,net_return,max_drawdown,final_portfolio_value
2026-03-27T08:48:37.562935,CLM,v1,0,0,0,0.00,98.65,0.00,19864.91
2026-03-27T08:48:39.878039,CLM,v1,0,0,0,0.00,98.65,0.00,19864.91
2026-03-27T08:48:42.068043,CLM,v1,0,0,0,0.00,98.65,0.00,19864.91
2026-03-27T08:48:44.311754,CLM,v1,0,0,0,0.00,98.65,0.00,19864.91
2026-03-27T08:48:46.665791,CLM,v1,0,0,0,0.00,98.65,0.00,19864.91
2026-03-27T08:48:48.683293,CLM,v1,0,0,0,0.00,98.65,0.00,19864.91
2026-03-27T08:48:50.899929,CLM,v1,0,0,0,0.00,98.65,0.00,19864.91
2026-03-27T08:48:53.094155,CLM,v1,0,0,0,0.00,98.65,0.00,19864.91
2026-03-27T08:48:55.448621,CLM,v1,0,0,0,0.00,98.65,0.00,19864.91
2026-03-27T08:48:57.793661,CLM,v1,0,0,0,0.00,98.65,0.00,19864.91
2026-03-27T08:48:59.925055,CLM,v1,0,0,0,0.00,98.65,0.00,19864.91
2026-03-27T08:49:02.214583,CLM,v1,0,0,0,0.00,98.65,0.00,19864.91
2026-03-27T08:49:04.382501,CLM,v1,0,0,0,0.00,99.04,0.00,19904.27
2026-03-27T08:49:06.678356,CLM,v1,0,0,0,0.00,99.04,0.00,19904.27
2026-03-27T08:49:08.951447,CLM,v1,0,0,0,0.00,99.04,0.00,19904.27
2026-03-27T08:49:11.217621,CLM,v1,0,0,0,0.00,99.04,0.00,19904.27
2026-03-27T08:49:13.465683,CLM,v1,0,0,0,0.00,99.04,0.00,19904.27
2026-03-27T08:49:15.756227,CLM,v1,0,0,0,0.00,99.04,0.00,19904.27
2026-03-27T08:49:18.006260,CLM,v1,0,0,0,0.00,99.04,0.00,19904.27
2026-03-27T08:49:20.444740,CLM,v1,0,0,0,0.00,99.04,0.00,19904.27
2026-03-27T08:49:22.644057,CLM,v1,0,0,0,0.00,99.04,0.00,19904.27
2026-03-27T08:49:24.893253,CLM,v1,0,0,0,0.00,99.04,0.00,19904.27
2026-03-27T08:49:27.073147,CLM,v1,0,0,0,0.00,99.04,0.00,19904.27
2026-03-27T08:49:29.296256,CLM,v1,0,0,0,0.00,99.04,0.00,19904.27
2026-03-27T08:49:31.445821,CLM,v1,0,0,0,0.00,99.04,0.00,19904.27
2026-03-27T08:49:33.557534,CLM,v1,0,0,0,0.00,99.04,0.00,19904.27
2026-03-27T08:49:35.830199,CLM,v1,0,0,0,0.00,99.04,0.00,19904.27
2026-03-27T08:49:38.015583,CLM,v1,0,0,0,0.00,99.04,0.00,19904.27
2026-03-27T08:49:40.279932,CLM,v1,0,0,0,0.00,99.04,0.00,19904.27
2026-03-27T08:49:42.565344,CLM,v1,0,0,0,0.00,99.04,0.00,19904.27
2026-03-27T08:49:44.820760,CLM,v1,0,0,0,0.00,99.04,0.00,19904.27
2026-03-27T08:49:47.026243,CLM,v1,0,0,0,0.00,99.04,0.00,19904.27
2026-03-27T08:49:49.237562,CLM,v1,0,0,0,0.00,99.04,0.00,19904.27
2026-03-27T08:49:51.220529,CLM,v1,0,0,0,0.00,99.04,0.00,19904.27
2026-03-27T08:49:53.304194,CLM,v1,0,0,0,0.00,99.04,0.00,19904.27
2026-03-27T08:49:55.292156,CLM,v1,0,0,0,0.00,99.04,0.00,19904.27
2026-03-27T08:49:57.644165,CLM,v1,0,0,0,0.00,99.04,0.00,19904.27
2026-03-27T08:49:59.833001,CLM,v1,0,0,0,0.00,99.04,0.00,19904.27
2026-03-27T08:50:02.004639,CLM,v1,0,0,0,0.00,99.04,0.00,19904.27
2026-03-27T08:50:04.071118,CLM,v1,0,0,0,0.00,99.04,0.00,19904.27
2026-03-27T08:50:06.471704,CLM,v1,0,0,0,0.00,98.37,0.00,19837.37
2026-03-27T08:50:08.776767,CLM,v1,0,0,0,0.00,98.37,0.00,19837.37
2026-03-27T08:50:11.012541,CLM,v1,0,0,0,0.00,98.65,0.00,19864.91
2026-03-27T08:50:13.475815,CLM,v1,0,0,0,0.00,98.65,0.00,19864.91
2026-03-27T08:50:15.648311,CLM,v1,0,0,0,0.00,98.65,0.00,19864.91
2026-03-27T08:50:17.970386,CLM,v1,0,0,0,0.00,98.65,0.00,19864.91
2026-03-27T08:50:20.301883,CLM,v1,0,0,0,0.00,98.65,0.00,19864.91
2026-03-27T08:50:22.459444,CLM,v1,0,0,0,0.00,98.65,0.00,19864.91
2026-03-27T08:50:24.713593,CLM,v1,0,0,0,0.00,98.65,0.00,19864.91
2026-03-27T08:50:27.107963,CLM,v1,0,0,0,0.00,98.65,0.00,19864.91
2026-03-27T08:50:29.394684,CLM,v1,0,0,0,0.00,98.65,0.00,19864.91
2026-03-27T08:50:31.732374,CLM,v1,0,0,0,0.00,98.65,0.00,19864.91
2026-03-27T08:50:33.984554,CLM,v1,0,0,0,0.00,98.65,0.00,19864.91
2026-03-27T08:50:36.078909,CLM,v1,0,0,0,0.00,98.65,0.00,19864.91
2026-03-27T08:50:38.442677,CLM,v1,0,0,0,0.00,98.65,0.00,19864.91
2026-03-27T08:50:40.669042,CLM,v1,0,0,0,0.00,98.65,0.00,19864.91
2026-03-27T08:50:43.003650,CLM,v1,0,0,0,0.00,98.65,0.00,19864.91
2026-03-27T08:50:45.351142,CLM,v1,0,0,0,0.00,98.65,0.00,19864.91
2026-03-27T08:50:47.554522,CLM,v1,0,0,0,0.00,98.65,0.00,19864.91
2026-03-27T08:50:49.799256,CLM,v1,0,0,0,0.00,98.65,0.00,19864.91
