TP_MULT,SL_MULT,RISK_PCT,VOL_MULT,ADX_THRESH,Return,ProfitFactor,Trades
10.0,2.0,0.03,1.0,15,16.649096522147786,1.5363028436690673,32
10.0,2.0,0.04,0.8,10,-2.7044095035590576,0.9512005427976454,41
10.0,2.0,0.04,0.8,12,-3.6607113030796556,0.9334708490840361,40
10.0,2.0,0.04,0.8,15,-3.6607113030796556,0.9334708490840361,40
10.0,2.0,0.04,1.0,10,17.75260925551587,1.4285397028472113,33
10.0,2.0,0.04,1.0,12,16.59523890034622,1.4040971471427597,32
10.0,2.0,0.04,1.0,15,16.59523890034622,1.4040971471427597,32
10.0,2.0,0.05,0.8,10,-9.432417866769715,0.8533575441749396,41
10.0,2.0,0.05,0.8,12,-10.542407081013716,0.8346515972088253,40
10.0,2.0,0.05,0.8,15,-10.542407081013716,0.8346515972088253,40
10.0,2.0,0.05,1.0,10,15.207478288091947,1.3133079926244118,33
10.0,2.0,0.05,1.0,12,13.795504430692063,1.287315601042194,32
10.0,2.0,0.05,1.0,15,13.795504430692063,1.287315601042194,32
12.0,1.5,0.03,0.8,10,-1.376450560396092,0.9744967636850816,43
12.0,1.5,0.03,0.8,12,-2.3458046423537993,0.9561936806569546,42
12.0,1.5,0.03,0.8,15,-2.3458046423537993,0.9561936806569546,42
12.0,1.5,0.03,1.0,10,14.901964935318812,1.3759874654024418,33
12.0,1.5,0.03,1.0,12,13.77261307799975,1.3506003884641922,32
12.0,1.5,0.03,1.0,15,13.77261307799975,1.3506003884641922,32
12.0,1.5,0.04,0.8,10,-8.478149282877146,0.8668562714856235,43
12.0,1.5,0.04,0.8,12,-9.634703072370442,0.847209029047538,42
12.0,1.5,0.04,0.8,15,-9.634703072370442,0.847209029047538,42
12.0,1.5,0.04,1.0,10,11.112317279699457,1.2343823163400902,33
12.0,1.5,0.04,1.0,12,9.708200442001225,1.2071295527814347,32
12.0,1.5,0.04,1.0,15,9.708200442001225,1.2071295527814347,32
12.0,1.5,0.05,0.8,10,-10.047106022452812,0.8493934274608798,43
12.0,1.5,0.05,0.8,12,-11.183833039995028,0.8307233802953338,42
12.0,1.5,0.05,0.8,15,-11.183833039995028,0.8307233802953338,42
12.0,1.5,0.05,1.0,10,11.951926913671906,1.243094327188856,33
12.0,1.5,0.05,1.0,12,10.537200000934078,1.2167995473483877,32
12.0,1.5,0.05,1.0,15,10.537200000934078,1.2167995473483877,32
12.0,2.0,0.03,0.8,10,1.6339383055721024,1.0374539303592054,41
12.0,2.0,0.03,0.8,12,0.8828858024451103,1.020339225187735,40
12.0,2.0,0.03,0.8,15,0.8828858024451103,1.020339225187735,40
12.0,2.0,0.03,1.0,10,17.517525247531584,1.5605958781362006,33
12.0,2.0,0.03,1.0,12,16.649096522147786,1.5363028436690673,32
12.0,2.0,0.03,1.0,15,16.649096522147786,1.5363028436690673,32
12.0,2.0,0.04,0.8,10,-2.7044095035590576,0.9512005427976454,41
12.0,2.0,0.04,0.8,12,-3.6607113030796556,0.9334708490840361,40
